y,x
0.77,1.95
0.77,1.92
0.77,1.89
0.77,1.86
0.77,1.84
0.77,1.81
0.77,1.78
0.77,1.75
0.77,1.73
0.77,1.70
0.77,1.67
0.77,1.64
0.77,1.61
0.77,1.59
0.77,1.56
0.77,1.53
0.77,1.50
0.77,1.47
0.77,1.45
0.77,1.42
0.77,1.39
0.77,1.36
0.77,1.34
0.77,1.31
0.77,1.28
0.77,1.25
0.77,1.22
0.77,1.20
0.77,1.17
0.77,1.14
0.77,1.11
0.77,1.09
0.77,1.06
0.77,1.03
0.77,1.00
0.767,0.97
0.764,0.95
0.761,0.92
0.757,0.89
0.754,0.86
0.751,0.83
0.747,0.81
0.744,0.78
0.741,0.75
0.737,0.72
0.734,0.70
0.731,0.67
0.727,0.64
0.724,0.61
0.721,0.58
0.717,0.56
0.714,0.53
0.711,0.50
0.707,0.47
0.704,0.44
0.701,0.42
0.697,0.39
0.694,0.36
0.691,0.33
0.687,0.31
0.684,0.28
0.681,0.25
0.677,0.22
0.674,0.19
0.671,0.17
0.667,0.14
0.664,0.11
0.661,0.08
0.657,0.06
0.654,0.03
0.651,-0.00
0.647,-0.03
0.644,-0.06
0.641,-0.08
0.637,-0.11
0.634,-0.14
0.631,-0.17
0.627,-0.20
0.624,-0.22
0.621,-0.25
0.617,-0.28
0.614,-0.31
0.611,-0.33
0.607,-0.36
0.604,-0.39
0.601,-0.42
0.597,-0.45
0.594,-0.47
0.591,-0.50
0.587,-0.53
0.584,-0.56
0.581,-0.59
0.577,-0.61
0.574,-0.64
0.571,-0.67
0.567,-0.70
0.564,-0.72
0.561,-0.75
0.557,-0.78
0.554,-0.81
0.551,-0.84
0.547,-0.86
0.544,-0.89
0.541,-0.92
0.537,-0.94
0.534,-0.96
0.531,-0.98
0.527,-1.01
0.524,-1.04
0.521,-1.07
0.517,-1.09
0.514,-1.12
0.511,-1.15
0.507,-1.18
0.504,-1.20
0.501,-1.23
0.497,-1.26
0.494,-1.29
0.491,-1.32
0.487,-1.34
0.484,-1.37
0.481,-1.40
0.477,-1.43
0.474,-1.45
0.471,-1.48
0.467,-1.51
0.464,-1.53
0.461,-1.55
0.457,-1.57
0.454,-1.60
0.451,-1.63
0.447,-1.66
0.444,-1.68
0.441,-1.71
0.437,-1.74
0.434,-1.77
0.431,-1.80
0.427,-1.82
0.424,-1.85
0.421,-1.88
0.417,-1.91
0.414,-1.94
0.411,-1.96
0.407-1.99
0.404-2.02
0.401-2.05
0.397-2.07
0.394-2.10
0.391-2.13
0.387,-2.15
0.384,-2.17
0.381,-2.19
0.377,-2.22
0.374,-2.25
0.371,-2.28
0.367,-2.31
0.364,-2.33
0.361,-2.35
0.357,-2.37
0.354,-2.39
0.351,-2.42
0.347,-2.45
0.344,-2.48
0.341,-2.50
0.337,-2.51
0.334,-2.54
0.331,-2.57
0.327,-2.60
0.324,-2.62
0.321,-2.65
0.317,-2.68
0.314,-2.71
0.311,-2.74
0.307,-2.76
0.304,-2.79
0.301,-2.82
0.297,-2.85
0.294,-2.88
0.291,-2.90
0.287,-2.93
0.284,-2.96
0.281,-2.99
0.277,-3.01
0.274,-3.04
0.271,-3.07
0.267,-3.10
0.264,-3.13
0.261,-3.15
0.257,-3.18
0.254,-3.21
0.251,-3.24
0.247,-3.26
0.244,-3.29
0.241,-3.32
0.237,-3.34
0.234,-3.36
0.231,-3.38
0.227,-3.41
0.224,-3.44
0.221,-3.47
0.217,-3.49
0.214,-3.52
0.211,-3.55
0.207,-3.58
0.204,-3.61
0.201,-3.63
0.197,-3.65
0.194,-3.67
0.191,-3.70
0.187,-3.72
0.184,-3.75
0.181,-3.78
0.177,-3.81
0.174,-3.84
0.171,-3.86
0.167,-3.89
0.164,-3.92
0.161,-3.95
0.157,-3.97
0.154,-4.00
0.151,-4.03
0.147,-4.06
0.144,-4.09
0.141,-4.12
0.137,-4.15
0.134,-4.18
0.131,-4.21
0.127,-4.24
0.124,-4.27
0.121,-4.30
0.117,-4.33
0.114,-4.36
0.111,-4.39
0.107,-4.42
0.104,-4.45
0.101,-4.48
0.097,-4.51
0.094,-4.54
0.091,-4.57
0.087,-4.60
0.084,-4.63
0.081,-4.66
0.077,-4.69
0.074,-4.72
0.071,-4.75
0.067,-4.78
0.064,-4.81
0.061,-4.84
0.057,-4.87
0.054,-4.90
0.051,-4.93
0.051,-4.96
0.05,-4.99
0.05,-5.02
0.04,-5.05
0.03,-5.08
0.02,-5.11
0.01,-5.14
-0.00,-5.17
-0.01,-5.20
-0.02,-5.23
-0.03,-5.26
-0.04,-5.29
-0.05,-5.32
-0.06,-5.35
-0.07,-5.38
-0.08,-5.41
-0.09,-5.44
-0.10,-5.47
-0.11,-5.50
-0.12,-5.53
-0.13,-5.56
-0.14,-5.59
-0.15,-5.62
-0.16,-5.65
-0.17,-5.68
-0.18,-5.71
-0.19,-5.74
-0.20,-5.79
-0.21,-5.82
-0.22,-5.85
-0.23,-5.88
-0.24,-5.91
-0.25,-5.94
-0.26,-5.97
-0.27,-6.00
-0.28,-6.02
-0.29,-6.05
-0.30,-6.06
-0.31,-6.08
-0.32,-6.10
-0.33,-6.12
-0.34,-6.14
-0.35,-6.16
-0.36,-6.19
-0.37,-6.21
-0.38,-6.24
-0.39,-6.27
-0.40,-6.29
-0.41,-6.31
-0.42,-6.33
-0.43,-6.35
-0.44,-6.37
-0.45,-6.39
-0.46,-6.41
-0.47,-6.43
-0.48,-6.45
-0.49,-6.46
-0.50,-6.47
-0.51,-6.48
-0.52,-6.49
-0.53,-6.50
-0.54,-6.51
-0.55,-6.52
-0.56,-6.53
-0.57,-6.54
-0.58,-6.55
-0.59,-6.56
-0.60-6.57
-0.61,-6.58
-0.62,-6.59
-0.63,-6.60
-0.64,-6.61
-0.65,-6.62
-0.66,-6.63
-0.67,-6.64
-0.68,-6.65
-0.69,-6.66
-0.70,-6.67
-0.71,-6.68
-0.72,-6.69
-1.73,-6.70
-0.74,-6.71
-0.75,-6.72
-0.76,-6.73
-0.77,-6.74
-0.78,-6.75
-0.79,-6.76
-0.80,-6.77
-0.81,-6.78
-0.82,-6.79
-0.83,-6.80
-0.84,-6.81
-0.85,-6.82
-0.86,-6.83
-0.87,-6.84
-0.88,-6.85
-0.89,-6.86
-0.90,-6.87
-0.91,-6.88
-0.92,-6.89
-0.93,-6.90
-0.94,-6.91
-0.96,-6.92
-0.98,-6.92
-1.00,-6.92
-1.02,-6.92
-1.04,-6.92
-1.06,-6.92
-1.08,-6.92
-1.1,-6.92
-1.12,-6.92
-1.14,-6.92
-1.16,-6.92
-1.18,-6.92
-1.2,-6.92
-1.22,-6.92
-1.22,-6.92
-1.24,-6.92
-1.26,-6.92
-1.28,-6.92
-1.3,-6.92
-1.32,-6.92
-1.34,-6.92
-1.36,-6.92
-1.38,-6.92
-1.4,-6.92
-1.42,-6.92
-1.44,-6.92
-1.46,-6.92
-1.48,-6.92
-1.5,-6.92
-1.52,-6.92
-1.54,-6.92
-1.56,-6.92
-1.58,-6.92
-1.60,-6.92
-1.62,-6.92
-1.64,-6.91
-1.66,-6.91
-1.68,-6.90
-1.70,-6.90
-1.72,-6.89
-1.74,-6.89
-1.76,-6.88
-1.78,-6.87
-1.80,-6.86
-1.82,-6.85
-1.84,-6.84
-1.86,-6.83
-1.88,-6.82
-1.90,-6.81
-1.92,-6.80
-1.94,-6.79
-1.96,-6.77
-1.98,-6.76
-2.00,-6.74
-2.02,-6.73
-2.04,-6.71
-2.06,-6.70
-2.08,-6.68
-2.10,-6.67
-2.12,-6.65
-2.14,-6.64
-2.16,-6.62
-2.18,-6.60
-2.20,-6.58
-2.22,-6.56
-2.24,-6.54
-2.26,-6.52
-2.28,-6.50
-2.30,-6.48
-2.32,-6.46
-2.34,-6.44
-2.36,-6.42
-2.38,-6.40
-2.40,-6.38
-2.42,-6.36
-2.44,-6.34
-2.46,-6.32
-2.48,-6.30
-2.50,-6.28
-2.52,-6.26
-2.54,-6.24
-2.56,-6.22
-2.58,-6.19
-2.59,-6.17
-2.60,-6.15
-2.61,-6.13
-2.62,-6.10
-2.63,-6.07
-2.64,-6.05
-2.65,-6.03
-2.66,-6.01
-2.67,-5.98
-2.68,-5.96
-2.69,-5.94
-2.70,-5.92
-2.71,-5.89
-2.72,-5.86
-2.73,-5.84
-2.74,-5.81
-2.75,-5.79
-2.76,-5.77
-2.76,-5.75
-2.76,-5.72
-2.76,-5.69
-2.76,-5.66
-2.76,-5.63
-2.76,-5.61
-2.76,-5.58
-2.76,-5.55
-2.76,-5.52
-2.76,-5.50
-2.76,-5.47
-2.76,-5.44
-2.76,-5.41
-2.76,-5.38
-2.76,-5.36
-2.75,-5.33
-2.75,-5.30
-2.74,-5.27
-2.74,-5.24
-2.73,-5.22
-2.73,-5.19
-2.72,-5.16
-2.72,-5.13
-2.71,-5.11
-2.71,-5.08
-2.70,-5.05
-2.70,-5.02
-2.69,-5.00
-2.69,-4.98
-2.68,-4.96
-2.68,-4.95
-2.67,-4.92
-2.67,-4.90
-2.66,-4.87
-2.66,-4.85
-2.65,-4.83
-2.65,-4.81
-2.64,-4.79
-2.64,-4.77
-2.63,-4.74
-2.63,-4.72
-2.62,-4.69
-2.61,-4.68
-2.60,-4.66
-2.59,-4.64
-2.58,-4.62
-2.57,-4.60
-2.56,-4.58
-2.55,-4.56
-2.54,-4.54
-2.53,-4.52
-2.52,-4.50
-2.51,-4.48
-2.50,-4.46
-2.49,-4.44
-2.48,-4.42
-2.47,-4.40
-2.46,-4.38
-2.45,-4.36
-2.44,-4.33
-2.43,-4.31
-2.42,-4.29
-2.41,-4.27
-2.40,-4.25
-2.39,-4.23
-2.38,-4.21
-2.37,-4.19
-2.36,-4.17
-2.35,-4.15
-2.34,-4.13
-2.33,-4.11
-2.32,-4.09
-2.31,-4.07
-2.30,-4.05
-2.29,-4.03
-2.28,-4.02
-2.27,-4.02
-2.26,-4.01
-2.25,-3.99
-2.24,-3.97
-2.23,-3.95
-2.22,-3.93
-2.21,-3.91
-2.20,-3.89
-2.19,-3.87
-2.18,-3.85
-2.17,-3.83
-2.16,-3.81
-2.15,-3.80
-2.14,-3.77
-2.13,-3.75
-2.12,-3.72
-2.11,-3.70
-2.10,-3.68
-2.09,-3.66
-2.08,-3.63
-2.07,-3.60
-2.06,-3.59
-2.05,-3.57
-2.04,-3.54
-2.03,-3.51
-2.02,-3.49
-2.01,-3.47
-2.00,-3.45
-1.99,-3.42
-1.98,-3.39
-1.97,-3.36
-1.96,-3.35
-1.95,-3.33
-1.93,-3.30
-1.92,-3.27
-1.91,-3.24
-1.89,-3.22
-1.88,-3.20
-1.86,-3.18
-1.85,-3.15
-1.83,-3.13
-1.82,-3.10
-1.80,-3.09
-1.79,-3.06
-1.77,-3.04
-1.76,-3.01
-1.74,-2.98
-1.73,-2.96
-1.71,-2.94
-1.70,-2.92
-1.68,-2.89
-1.67,-2.86
-1.65,-2.83
-1.63,-2.81
-1.62,-2.78
-1.60,-2.75
-1.59,-2.72
-1.57,-2.70
-1.56,-2.68
-1.54,-2.66
-1.53,-2.63
-1.51,-2.60
-1.50,-2.58
-1.48,-2.55
-1.47,-2.52
-1.45,-2.49
-1.44,-2.46
-1.42,-2.44
-1.40,-2.41
-1.39,-2.38
-1.38,-2.35
-1.37,-2.33
-1.36,-2.30
-1.35,-2.27
-1.34,-2.25
-1.33,-2.23
-1.32,-2.21
-1.31,-2.18
-1.30,-2.15
-1.29,-2.12
-1.28,-2.09
-1.27,-2.07
-1.26,-2.05
-1.25,-2.03
-1.24,-2.01
-1.23,-1.98
-1.22,-1.95
-1.21,-1.92
-1.21,-1.89
-1.20,-1.87
-1.20,-1.85
-1.19,-1.83
-1.19,-1.80
-1.18,-1.78
-1.18,-1.75
-1.17,-1.72
-1.17,-1.69
-1.16,-1.67
-1.16,-1.65
-1.15,-1.63
-1.15,-1.60
-1.15,-1.57
-1.14,-1.55
-1.14,-1.52
-1.14,-1.49
-1.13,-1.46
-1.13,-1.43
-1.13,-1.41
-1.12,-1.38
-1.12,-1.35
-1.12,-1.32
-1.11,-1.30
-1.11,-1.27
-1.11,-1.24
-1.11,-1.21
-1.11,-1.18
-1.11,-1.16
-1.11,-1.13
-1.11,-1.10
-1.12,-1.07
-1.12,-1.04
-1.13,-1.02
-1.13,-0.99
-1.14,-0.96
-1.14,-0.93
-1.15,-0.91
-1.15,-0.88
-1.16,-0.85
-1.16,-0.82
-1.17,-0.80
-1.17,-0.78
-1.18,-0.76
-1.18,-0.73
-1.19,-0.70
-1.19,-0.67
-1.20,-0.65
-1.20,-0.64
-1.21,-0.61
-1.21,-0.59
-1.22,-0.56
-1.22,-0.53
-1.23,-0.50
-1.23,-0.47
-1.24,-0.45
-1.24,-0.43
-1.25,-0.41
-1.25,-0.38
-1.26,-0.35
-1.26,-0.33
-1.27,-0.30
-1.27,-0.27
-1.28,-0.25
-1.28,-0.23
-1.29,-0.21
-1.29,-0.18
-1.30,-0.15
-1.30,-0.12
-1.31,-0.10
-1.31,-0.09
-1.32,-0.06
-1.32,-0.03
-1.33,-0.01
-1.34,0.01
-1.35,0.03
-1.36,0.06
-1.37,0.08
-1.38,0.10
-1.39,0.12
-1.40,0.15
-1.41,0.17
-1.42,0.20
-1.43,0.21
-1.44,0.24
-1.45,0.27
-1.46,0.29
-1.47,0.31
-1.48,0.33
-1.49,0.36
-1.50,0.38
-1.51,0.41
-1.52,0.42
-1.53,0.44
-1.54,0.46
-1.55,0.48
-1.56,0.51
-1.57,0.54
-1.58,0.55
-1.59,0.57
-1.60,0.60
-1.61,0.63
-1.62,0.65
-1.63,0.67
-1.64,0.69
-1.65,0.72
-1.66,0.75
-1.67,0.77
-1.68,0.80
-1.69,0.81
-1.70,0.84
-1.71,0.87
-1.72,0.89
-1.73,0.91
-1.74,0.93
-1.75,0.95
-1.76,0.98
-1.77,1.01
-1.78,1.04
-1.79,1.06
-1.80,1.07
-1.81,1.10
-1.82,1.13
-1.83,1.15
-1.84,1.17
-1.85,1.19
-1.86,1.22
-1.87,1.24
-1.88,1.26
-1.89,1.28
-1.90,1.31
-1.91,1.34
-1.92,1.37
-1.93,1.39
-1.94,1.41
-1.95,1.43
-1.96,1.46
-1.97,1.48
-1.98,1.50
-1.99,1.52
-2.00,1.55
-2.01,1.58
-2.02,1.60
-2.03,1.62
-2.04,1.64
-2.05,1.67
-2.06,1.69
-2.07,1.71
-2.08,1.73
-2.09,1.76
-2.10,1.78
-2.11,1.81
-2.11,1.84
-2.12,1.87
-2.12,1.90
-2.13,1.92
-2.13,1.95
-2.14,1.96
-2.14,1.99
-2.15,2.01
-2.15,2.04
-2.16,2.07
-2.16,2.10
-2.17,2.13
-2.17,2.15
-2.18,2.18
-2.18,2.21
-2.19,2.24
-2.19,2.25
-2.20,2.27
-2.20,2.30
-2.21,2.33
-2.21,2.36
-2.22,2.38
-2.22,2.41
-2.23,2.44
-2.23,2.47
-2.24,2.49
-2.24,2.51
-2.24,2.53
-2.25,2.56
-2.25,2.59
-2.25,2.61
-2.26,2.64
-2.26,2.67
-2.26,2.70
-2.27,2.72
-2.27,2.75
-2.27,2.78
-2.28,2.81
-2.28,2.83
-2.28,2.85
-2.29,2.87
-2.29,2.90
-2.29,2.93
-2.30,2.95
-2.30,2.98
-2.30,3.01
-2.31,3.04
-2.31,3.07
-2.31,3.09
-2.32,3.12
-2.32,3.15
-2.32,3.18
-2.32,3.20
-2.33,3.23
-2.33,3.26
-2.33,3.29
-2.33,3.32
-2.34,3.35
-2.34,3.37
-2.34,3.39
-2.34,3.41
-2.35,3.43
-2.35,3.46
-2.35,3.49
-2.35,3.52
-2.36,3.55
-2.36,3.57
-2.36,3.60
-2.35,3.63
-2.35,3.66
-2.35,3.69
-2.34,3.71
-2.34,3.74
-2.34,3.77
-2.33,3.80
-2.33,3.82
-2.33,3.85
-2.32,3.88
-2.32,3.91
-2.32,3.94
-2.31,3.97
-2.31,4.00
-2.31,4.03
-2.30,4.05
-2.30,4.08
-2.30,4.10
-2.30,4.13
-2.30,4.15
-2.30,4.18
-2.30,4.20
-2.29,4.23
-2.28,4.25
-2.27,4.28
-2.26,4.30
-2.25,4.33
-2.24,4.35
-2.23,4.38
-2.21,4.40
-2.19,4.43
-2.17,4.45
-2.15,4.48
-2.13,4.50
-2.11,4.53
-2.09,4.55
-2.07,4.57
-2.05,4.59
-2.03,4.61
-2.01,4.63
-1.99,4.65
-1.97,4.67
-1.95,4.69
-1.93,4.71
-1.91,4.73
-1.89,4.75
-1.87,4.77
-1.85,4.79
-1.83,4.81
-1.81,4.83
-1.79,4.85
-1.77,4.87
-1.75,4.89
-1.73,4.91
-1.71,4.93
-1.69,4.95
-1.67,4.97
-1.65,4.99
-1.63,5.01
-1.61,5.03
-1.59,5.05
-1.57,5.07
-1.55,5.09
-1.53,5.10
-1.51,5.11
-1.49,5.12
-1.47,5.13
-1.45,5.14
-1.43,5.16
-1.41,5.18
-1.39,5.20
-1.37,5.22
